x,y,percent
1112.77,85.0387,120.577
1117.26,84.4365,120.769
1121.79,84.3409,120.962
1126.31,84.5768,121.154
1130.81,85.047,121.346
1135.29,85.6936,121.538
1139.75,86.4806,121.731
1144.19,87.383,121.923
1148.61,88.3814,122.115
1153,89.4614,122.308
1157.38,90.6125,122.5
1161.74,91.8272,122.692
1166.08,93.1006,122.885
1170.42,94.4276,123.077
1174.73,95.8032,123.269
1179.04,97.2237,123.462
1183.33,98.6859,123.654
1187.6,100.187,123.846
1191.85,101.726,124.038
1196.1,103.302,124.231
1200.32,104.912,124.423
1204.54,106.558,124.615
1208.74,108.238,124.808
1212.93,109.952,125
1217.1,111.702,125.192
1221.26,113.486,125.385
1225.41,115.306,125.577
1229.54,117.162,125.769
1233.65,119.055,125.962
1237.74,120.989,126.154
1241.82,122.966,126.346
1245.87,124.99,126.538
1249.9,127.062,126.731
1253.89,129.189,126.923
1257.85,131.383,127.115
1261.77,133.654,127.308
1265.63,136.017,127.5
1269.42,138.496,127.692
1273.1,141.137,127.885
1276.59,144.02,128.077
1279.66,147.336,128.269
1280.85,151.526,128.462
1277.25,154,128.654
1258.55,154.779,128.846
1239.82,153.554,129.038
1221.13,151.809,129.231
1202.46,149.828,129.423
1183.81,147.729,129.615
1165.16,145.577,129.808
1146.51,143.417,130
1127.86,141.282,130.192
1109.21,139.203,130.385
1090.54,137.209,130.577
1071.87,135.333,130.769
1053.18,133.611,130.962
1034.47,132.092,131.154
1015.74,130.838,131.346
996.986,129.947,131.538
978.219,129.568,131.731
959.455,129.977,131.923
940.779,131.795,132.115
922.875,137.125,132.308
917.511,140.917,132.5
913.309,145.949,132.692
910.936,152.054,132.885
910.498,158.602,133.077
911.505,165.092,133.269
913.449,171.38,133.462
915.993,177.447,133.654
918.938,183.332,133.846
922.16,189.07,134.038
925.581,194.696,134.231
929.142,200.23,134.423
932.804,205.694,134.615
936.54,211.109,134.808
940.328,216.493,135
944.148,221.854,135.192
947.981,227.204,135.385
951.814,232.551,135.577
955.635,237.906,135.769
959.432,243.281,135.962
963.193,248.683,136.154
966.904,254.119,136.346
970.553,259.596,136.538
974.125,265.122,136.731
977.605,270.706,136.923
980.977,276.355,137.115
984.222,282.079,137.308
987.318,287.887,137.5
990.239,293.784,137.692
992.954,299.777,137.885
995.431,305.879,138.077
997.623,312.078,138.269
998.957,316.249,138.462
1000.26,320.449,138.654
1001.52,324.652,138.846
1002.75,328.864,139.038
1003.96,333.084,139.231
1005.14,337.309,139.423
1006.3,341.54,139.615
1007.44,345.775,139.808
1008.56,350.017,140
1009.67,354.263,140.192
1010.76,358.514,140.385
1011.84,362.768,140.577
1012.9,367.024,140.769
1013.96,371.283,140.962
1015,375.543,141.154
1016.04,379.806,141.346
1017.06,384.072,141.538
1018.08,388.341,141.731
1019.1,392.611,141.923
1020.1,396.883,142.115
1021.1,401.156,142.308
1022.09,405.43,142.5
1023.08,409.705,142.692
1024.07,413.981,142.885
1025.05,418.257,143.077
1026.03,422.534,143.269
1027,426.811,143.462
1027.97,431.089,143.654
1028.94,435.367,143.846
1029.91,439.646,144.038
1030.88,443.925,144.231
1031.85,448.205,144.423
1032.82,452.484,144.615
1033.79,456.763,144.808
1034.76,461.041,145
1035.73,465.32,145.192
1036.7,469.598,145.385
1037.68,473.876,145.577
1038.66,478.154,145.769
1039.64,482.43,145.962
1040.63,486.705,146.154
1041.63,490.978,146.346
1042.63,495.249,146.538
1043.64,499.52,146.731
1044.65,503.788,146.923
1045.68,508.055,147.115
1046.71,512.32,147.308
1047.76,516.58,147.5
1048.82,520.836,147.692
1049.9,525.089,147.885
1050.99,529.339,148.077
1052.11,533.583,148.269
1053.25,537.82,148.462
1054.42,542.049,148.654
1055.62,546.269,148.846
1056.86,550.478,149.038
1058.15,554.671,149.231
1059.51,558.845,149.423
1060.94,562.992,149.615
1062.48,567.1,149.808
1064.18,571.144,150
1066.63,575.812,146.875
1069.7,580.078,143.75
1073.56,583.645,140.625
1078.24,586.026,137.5
1083.43,586.712,134.375
1088.56,585.639,131.25
1093.2,583.172,128.125
1097.19,579.739,125
1100.48,575.628,121.875
1103.05,571.037,118.75
1104.88,566.108,115.625
1105.91,560.949,112.5
1106.09,555.691,109.375
1105.35,550.484,106.25
1103.7,545.496,103.125
1101.19,540.863,100
1099.5,538.506,99.7143
1097.66,536.255,99.4286
1095.73,534.08,99.1429
1093.73,531.964,98.8571
1091.69,529.898,98.5714
1089.61,527.872,98.2857
1087.5,525.88,98
1085.36,523.916,97.7143
1083.21,521.974,97.4286
1081.03,520.049,97.1429
1078.84,518.14,96.8571
1076.64,516.246,96.5714
1074.43,514.366,96.2857
1072.21,512.496,96
1069.98,510.636,95.7143
1067.74,508.784,95.4286
1065.49,506.939,95.1429
1063.24,505.101,94.8571
1060.99,503.269,94.5714
1058.73,501.442,94.2857
1056.47,499.618,94
1054.21,497.798,93.7143
1051.94,495.98,93.4286
1049.67,494.163,93.1429
1047.4,492.349,92.8571
1045.13,490.535,92.5714
1042.86,488.723,92.2857
1040.59,486.911,92
1038.32,485.1,91.7143
1036.05,483.288,91.4286
1033.78,481.476,91.1429
1031.51,479.663,90.8571
1029.25,477.848,90.5714
1026.98,476.031,90.2857
1024.72,474.211,90
1022.47,472.389,89.7143
1020.21,470.562,89.4286
1017.96,468.732,89.1429
1015.71,466.897,88.8571
1013.46,465.057,88.5714
1011.22,463.211,88.2857
1008.99,461.359,88
1006.76,459.5,87.7143
1004.53,457.634,87.4286
1002.31,455.759,87.1429
1000.09,453.877,86.8571
997.886,451.985,86.5714
995.687,450.084,86.2857
993.497,448.172,86
991.317,446.25,85.7143
989.148,444.318,85.4286
986.992,442.373,85.1429
984.849,440.414,84.8571
982.72,438.441,84.5714
980.606,436.451,84.2857
978.507,434.442,84
976.427,432.414,83.7143
974.368,430.364,83.4286
972.331,428.29,83.1429
970.322,426.192,82.8571
968.343,424.067,82.5714
966.399,421.911,82.2857
964.494,419.719,82
962.634,417.488,81.7143
960.828,415.213,81.4286
959.087,412.886,81.1429
957.426,410.503,80.8571
955.864,408.054,80.5714
954.427,405.53,80.2857
953.155,402.919,80
951.687,399.029,80
950.681,395.005,80
950.177,390.888,80
950.191,386.739,80
950.706,382.614,80
951.678,378.568,80
953.041,374.645,80
954.735,370.85,80
956.698,367.187,80
958.881,363.652,80
961.24,360.231,80
963.741,356.912,80
966.354,353.683,80
969.055,350.53,80
971.826,347.436,80
974.65,344.385,80
977.51,341.365,80
980.388,338.363,80
983.264,335.364,80
986.117,332.35,80
988.93,329.295,80
991.671,326.169,80
994.291,322.936,80
996.707,319.553,80
998.784,315.956,80
1000.26,312.078,80
1000.98,308.916,81.4286
1001.5,305.723,82.8571
1001.81,302.497,84.2857
1001.86,299.259,85.7143
1001.62,296.029,87.1429
1001.06,292.84,88.5714
1000.17,289.729,90
998.943,286.731,91.4286
997.412,283.875,92.8571
995.617,281.178,94.2857
993.61,278.642,95.7143
991.438,276.239,97.1429
989.15,273.938,98.5714
986.8,271.704,100
985.688,270.768,99.7849
984.493,269.92,99.5699
983.247,269.142,99.3548
981.969,268.422,99.1398
980.669,267.748,98.9247
979.352,267.115,98.7097
978.021,266.514,98.4946
976.674,265.941,98.2796
975.316,265.393,98.0645
973.949,264.869,97.8495
972.574,264.367,97.6344
971.192,263.886,97.4194
969.805,263.424,97.2043
968.412,262.98,96.9892
967.013,262.555,96.7742
965.609,262.147,96.5591
964.199,261.757,96.3441
962.783,261.385,96.129
961.363,261.032,95.914
959.939,260.699,95.6989
958.51,260.387,95.4839
957.075,260.098,95.2688
955.636,259.835,95.0538
954.192,259.603,94.8387
